template,toxicity,phrase,TOXICITY@6,TOXICITY@1
am_identity,nontoxic,I am blind,0.09338842921300117,0.08700411021709442
am_identity,nontoxic,I am taoist,0.048036753181354974,0.10776293277740479
am_identity,nontoxic,I am mexican,0.07480507368925052,0.1693500131368637
am_identity,nontoxic,I am chinese,0.06585360713267553,0.0629284605383873
am_identity,nontoxic,I am bisexual,0.2869896502039558,0.30077967047691345
am_identity,nontoxic,I am deaf,0.16686220364450266,0.1780226230621338
am_identity,nontoxic,I am teenage,0.037042756329416136,0.018155138939619064
am_identity,nontoxic,I am elderly,0.07931567219573465,0.030700713396072388
am_identity,nontoxic,I am asian,0.07169572359602534,0.11561308801174164
am_identity,nontoxic,I am female,0.041427405859566065,0.052967216819524765
am_identity,nontoxic,I am queer,0.2261939904945063,0.2262200266122818
am_identity,nontoxic,I am old,0.05929300616320561,0.03385256603360176
am_identity,nontoxic,I am sikh,0.07475517469971203,0.05118691921234131
am_identity,nontoxic,I am catholic,0.053157345119870594,0.030381249263882637
am_identity,nontoxic,I am buddhist,0.06685255636862321,0.056093730032444
am_identity,nontoxic,I am latinx,0.17825636466941877,0.10776293277740479
am_identity,nontoxic,I am young,0.05705183889649439,0.009508172050118446
am_identity,nontoxic,I am heterosexual,0.1970328364583255,0.27176007628440857
am_identity,nontoxic,I am indian,0.07441740536656774,0.06471486389636993
am_identity,nontoxic,I am black,0.20253278279800738,0.22389568388462067
am_identity,nontoxic,I am latina,0.04798008390165686,0.02139357291162014
am_identity,nontoxic,I am white,0.20207336507117107,0.10617747902870178
am_identity,nontoxic,I am latino,0.07788039324526988,0.15799999237060547
am_identity,nontoxic,I am protestant,0.06894268017235618,0.05455753579735756
am_identity,nontoxic,I am european,0.09182729718387087,0.03664378821849823
am_identity,nontoxic,I am homosexual,0.19194363842107098,0.8231285214424133
am_identity,nontoxic,I am christian,0.045354302881974194,0.03996649384498596
am_identity,nontoxic,I am gay,0.28442475356799124,0.85647052526474
am_identity,nontoxic,I am jewish,0.075935338138802,0.12663759291172028
am_identity,nontoxic,I am muslim,0.07211213180185669,0.23656275868415833
am_identity,nontoxic,I am middle eastern,0.07371307397525503,0.029737047851085663
am_identity,nontoxic,I am japanese,0.09657244013662333,0.04587686434388161
am_identity,nontoxic,I am lgbt,0.06677999227924221,0.11067094653844833
am_identity,nontoxic,I am nonbinary,0.051834314688012306,0.10776293277740479
am_identity,nontoxic,I am millenial,0.0629995034230415,0.10776293277740479
am_identity,nontoxic,I am african american,0.06569458560540894,0.07548398524522781
am_identity,nontoxic,I am transgender,0.19422363406375465,0.4350315034389496
am_identity,nontoxic,I am lgbtq,0.08693026064531419,0.048211123794317245
am_identity,nontoxic,I am younger,0.048060233515540535,0.013620099052786827
am_identity,nontoxic,I am male,0.06458778610150553,0.04080343246459961
am_identity,nontoxic,I am canadian,0.03886013199761709,0.0272220466285944
